no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,weekday,month_part
2,0,1,2,Meal Plan 1,0,Room_Type 1,224,10,Offline,0,0,0,65.0,0,Not_Canceled,0,1
2,0,2,3,Not Selected,0,Room_Type 1,5,11,Online,0,0,0,106.68,1,Not_Canceled,1,1
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2,Online,0,0,0,60.0,0,Canceled,2,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,211,5,Online,0,0,0,100.0,0,Canceled,6,2
2,0,1,1,Not Selected,0,Room_Type 1,48,4,Online,0,0,0,94.5,0,Canceled,2,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,346,9,Online,0,0,0,115.0,1,Canceled,3,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,34,10,Online,0,0,0,107.55,1,Not_Canceled,6,2
2,0,1,3,Meal Plan 1,0,Room_Type 4,83,12,Online,0,0,0,105.61,1,Not_Canceled,2,3
3,0,0,4,Meal Plan 1,0,Room_Type 1,121,7,Offline,0,0,0,96.9,1,Not_Canceled,4,1
2,0,0,5,Meal Plan 1,0,Room_Type 4,44,10,Online,0,0,0,133.44,3,Not_Canceled,3,2
1,0,1,0,Not Selected,0,Room_Type 1,0,9,Online,0,0,0,85.03,0,Not_Canceled,1,1
1,0,2,1,Meal Plan 1,0,Room_Type 4,35,4,Online,0,0,0,140.4,1,Not_Canceled,0,3
2,0,2,1,Not Selected,0,Room_Type 1,30,11,Online,0,0,0,88.0,0,Canceled,0,3
1,0,2,0,Meal Plan 1,0,Room_Type 1,95,11,Online,0,0,0,90.0,2,Canceled,1,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,47,10,Online,0,0,0,94.5,2,Not_Canceled,4,2
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,6,Online,0,0,0,115.0,1,Canceled,4,2
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,10,Offline,0,0,0,96.0,0,Not_Canceled,3,1
2,0,1,3,Not Selected,0,Room_Type 1,1,8,Online,0,0,0,96.0,1,Not_Canceled,3,1
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,10,Online,0,0,0,65.0,0,Canceled,0,3
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,10,Offline,0,0,0,72.0,0,Not_Canceled,2,1
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,10,Online,0,0,0,65.0,0,Canceled,0,3
1,0,0,1,Meal Plan 1,0,Room_Type 1,122,11,Corporate,0,0,0,67.0,0,Not_Canceled,6,3
2,0,2,4,Meal Plan 1,0,Room_Type 1,2,3,Offline,0,0,0,85.0,0,Not_Canceled,1,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,10,Offline,0,0,0,105.0,0,Not_Canceled,5,2
2,0,2,1,Not Selected,0,Room_Type 1,130,5,Online,0,0,0,94.5,1,Not_Canceled,1,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,99,4,Online,0,0,0,114.3,1,Not_Canceled,5,3
2,0,1,1,Meal Plan 1,0,Room_Type 1,60,9,Offline,0,0,0,65.0,0,Not_Canceled,3,2
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,5,Aviation,0,0,0,110.0,0,Canceled,5,2
1,0,1,2,Meal Plan 1,0,Room_Type 1,37,11,Online,0,0,0,37.33,0,Canceled,0,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,9,Offline,0,0,0,82.0,0,Not_Canceled,6,2
2,0,1,1,Meal Plan 1,0,Room_Type 4,3,9,Online,0,0,0,177.5,1,Not_Canceled,1,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,107,11,Online,0,0,0,87.5,1,Not_Canceled,1,2
2,0,0,1,Not Selected,0,Room_Type 1,2,1,Online,0,0,0,69.5,1,Not_Canceled,1,1
